Date,Four_cuts,Photoism,Haru_firm
2021-08-09,11.02236,4.55271,0.39936
2021-08-10,13.97763,6.38977,0.95846
2021-08-11,11.50159,5.11182,1.03833
2021-08-12,13.73801,5.59105,1.51757
2021-08-13,12.69968,6.23003,1.51757
2021-08-14,17.89137,6.62939,1.51757
2021-08-15,22.52396,6.70926,1.83706
2021-08-16,17.89137,7.18849,0.95846
2021-08-17,11.1821,4.95207,1.35782
2021-08-18,10.94249,4.39297,0.87859
2021-08-19,10.46325,4.95207,0.47923
2021-08-20,12.69968,4.71246,1.03833
2021-08-21,14.45686,6.38977,0.79872
2021-08-22,17.49201,3.83386,0.5591
2021-08-23,13.33865,3.35463,0.87859
2021-08-24,10.30351,3.35463,0.79872
2021-08-25,9.50479,2.95527,0.39936
2021-08-26,11.50159,3.75399,0.87859
2021-08-27,11.50159,4.79233,0.87859
2021-08-28,21.08626,8.3067,1.03833
2021-08-29,19.16932,7.58785,1.91693
2021-08-30,13.17891,5.99041,1.03833
2021-08-31,10.22364,5.11182,2.71565
2021-09-01,13.25878,5.35143,2.55591
2021-09-02,14.29712,5.91054,0.87859
2021-09-03,13.81789,3.51437,1.91693
2021-09-04,21.32587,6.70926,1.67731
2021-09-05,21.96485,6.94888,0.95846
2021-09-06,8.14696,3.83386,0.79872
2021-09-07,9.10543,3.27476,0.63897
2021-09-08,10.22364,3.27476,1.35782
2021-09-09,8.62619,3.35463,0.39936
2021-09-10,13.89776,4.47284,1.03833
2021-09-11,22.60383,6.07028,2.07667
2021-09-12,22.92332,6.70926,1.67731
2021-09-13,10.623,3.83386,1.35782
2021-09-14,8.3067,3.83386,1.11821
2021-09-15,13.25878,4.55271,1.19808
2021-09-16,100.0,4.95207,2.79552
2021-09-17,15.57507,3.27476,3.11501
2021-09-18,46.56549,4.39297,2.71565
2021-09-19,20.12779,7.7476,2.79552
2021-09-20,17.65175,4.95207,1.75718
2021-09-21,15.73482,4.79233,1.51757
2021-09-22,21.72523,6.3099,1.27795
2021-09-23,14.0575,3.75399,2.23642
2021-09-24,16.3738,5.4313,1.67731
2021-09-25,19.64856,6.23003,1.91693
2021-09-26,22.28434,6.54952,1.67731
2021-09-27,10.30351,5.99041,1.67731
2021-09-28,10.78274,2.71565,0.87859
2021-09-29,11.1821,1.91693,1.35782
2021-09-30,13.33865,3.27476,1.19808
2021-10-01,15.81469,3.4345,1.51757
2021-10-02,26.35782,7.50798,1.75718
2021-10-03,27.15654,7.98722,2.71565
2021-10-04,22.04472,5.75079,1.43769
2021-10-05,14.21725,4.23322,1.83706
2021-10-06,11.74121,4.39297,1.59744
2021-10-07,12.30031,3.67412,2.63578
2021-10-08,16.9329,6.23003,2.07667
2021-10-09,29.47284,9.26517,2.39616
2021-10-10,24.36102,9.50479,2.95527
2021-10-11,23.00319,7.34824,1.9968
2021-10-12,12.77955,6.62939,2.15654
2021-10-13,11.66134,3.75399,2.39616
2021-10-14,13.33865,5.03194,2.55591
2021-10-15,15.81469,3.91373,2.47603
2021-10-16,23.96166,8.38658,3.19488
2021-10-17,23.5623,4.8722,2.15654
2021-10-18,10.14376,4.79233,2.07667
2021-10-19,11.50159,4.47284,1.67731
2021-10-20,14.29712,3.59424,2.15654
2021-10-21,11.98083,4.79233,1.43769
2021-10-22,16.53354,4.8722,1.35782
2021-10-23,28.75399,8.46645,2.23642
2021-10-24,23.32268,7.58785,3.27476
2021-10-25,14.85623,4.07348,2.87539
2021-10-26,10.623,3.75399,3.03514
2021-10-27,11.02236,3.75399,3.11501
2021-10-28,13.97763,2.79552,3.51437
2021-10-29,15.89456,8.78594,3.35463
2021-10-30,28.91373,9.58466,4.63258
2021-10-31,31.869,10.22364,6.869
2021-11-01,17.17252,4.55271,2.87539
2021-11-02,14.21725,6.38977,1.75718
2021-11-03,15.57507,4.8722,2.39616
2021-11-04,14.21725,4.55271,3.19488
2021-11-05,16.29392,5.67092,2.87539
2021-11-06,26.9968,11.02236,6.07028
2021-11-07,24.20127,8.54632,7.02875
2021-11-08,14.13738,4.55271,3.11501
