Date,Four_cuts,Photoism,Haru_firm
2021-09-21,21.95896,16.08206,7.00198
2021-09-22,28.16677,19.8544,5.4401
2021-09-23,20.66181,17.31303,8.80211
2021-09-24,22.01191,17.51158,7.8491
2021-09-25,33.23626,23.67968,7.13434
2021-09-26,28.27266,21.29715,7.53143
2021-09-27,16.49238,16.4262,7.82263
2021-09-28,15.96293,13.91131,8.11383
2021-09-29,15.8041,11.64791,7.90205
2021-09-30,18.13368,13.55393,7.31965
2021-10-01,22.32958,16.04235,8.44473
2021-10-02,34.77167,25.17538,9.45069
2021-10-03,35.90999,23.15023,8.82859
2021-10-04,27.98146,20.71475,7.35936
2021-10-05,16.84976,12.94506,7.76968
2021-10-06,16.10853,12.5215,7.88881
2021-10-07,18.41164,13.2495,8.12706
2021-10-08,21.45598,15.45996,7.53143
2021-10-09,36.2806,24.06353,7.88881
2021-10-10,32.11118,23.87822,9.59629
2021-10-11,28.73593,19.93381,8.61681
2021-10-12,17.10125,13.05095,9.11978
2021-10-13,16.2806,11.4626,7.82263
2021-10-14,17.36598,13.31568,8.94771
2021-10-15,19.06022,12.38914,8.25943
2021-10-16,31.06551,19.29847,6.92256
2021-10-17,25.94308,17.06154,5.75777
2021-10-18,13.96426,12.3362,7.06816
2021-10-19,14.07015,10.24487,5.82395
2021-10-20,16.74387,11.59497,6.24751
2021-10-21,16.79682,13.50099,6.48577
2021-10-22,20.72799,14.14956,8.25943
2021-10-23,36.53209,21.77365,6.24751
2021-10-24,29.29185,19.76174,7.80939
2021-10-25,18.6896,14.1628,10.68166
2021-10-26,18.34546,15.39377,11.68762
2021-10-27,19.37789,17.07478,9.9669
2021-10-28,21.21773,14.44076,11.66115
2021-10-29,26.1681,21.73395,11.66115
2021-10-30,44.12971,28.33884,17.89543
2021-10-31,38.49106,23.34877,18.17339
2021-11-01,20.63534,16.02911,12.17736
2021-11-02,20.30443,15.84381,10.01985
2021-11-03,22.21045,15.79086,12.09794
2021-11-04,21.74718,16.04235,14.61283
2021-11-05,28.08735,21.13831,13.97749
2021-11-06,44.40767,27.88881,18.5043
2021-11-07,33.01125,24.5268,20.46326
2021-11-08,18.29252,14.3084,14.32164
2021-11-09,18.70284,14.22898,13.92455
2021-11-10,19.90734,14.85109,13.03772
2021-11-11,20.66181,15.89675,14.13633
2021-11-12,25.5857,18.2131,16.92918
2021-11-13,44.07677,25.05625,19.5632
2021-11-14,32.9583,20.97948,19.17935
2021-11-15,23.04434,14.22898,12.4818
2021-11-16,21.91925,14.17604,14.42753
2021-11-17,22.81932,16.83653,14.73196
2021-11-18,23.20317,15.76439,14.85109
2021-11-19,30.12574,16.58504,14.21575
2021-11-20,47.66379,26.81667,21.86631
2021-11-21,37.27332,21.42951,13.64659
2021-11-22,21.91925,13.34215,13.92455
2021-11-23,20.31767,12.1906,13.71277
2021-11-24,21.27068,13.73924,14.38782
2021-11-25,23.33553,16.2806,13.99073
2021-11-26,27.75645,17.02183,14.09662
2021-11-27,42.10456,25.36068,16.30708
2021-11-28,34.95698,21.94573,17.26009
2021-11-29,21.45598,16.34679,14.95698
2021-11-30,16.79682,14.22898,12.00529
2021-12-01,19.54996,15.00992,11.43613
2021-12-02,21.23097,14.36135,12.97154
2021-12-03,24.9636,16.38649,15.11581
2021-12-04,39.84116,23.99735,18.04103
2021-12-05,33.88484,22.71343,18.19986
2021-12-06,22.54136,17.28656,19.65585
2021-12-07,24.99007,15.55261,15.08934
2021-12-08,21.36333,17.40569,12.50827
2021-12-09,20.78093,16.06882,16.7174
2021-12-10,28.68299,16.66446,16.84976
2021-12-11,43.45466,27.58438,19.68232
2021-12-12,35.40701,23.53408,23.12375
2021-12-13,22.47518,18.37193,16.863
2021-12-14,21.73395,17.6307,20.93977
2021-12-15,24.06353,18.30575,22.18398
2021-12-16,25.96955,20.15883,25.36068
2021-12-17,30.09927,21.93249,21.32362
2021-12-18,41.49569,26.30046,28.4315
2021-12-19,38.6499,26.2078,38.82197
2021-12-20,30.48312,27.94176,31.7538
2021-12-21,33.01125,26.72402,39.78821
2021-12-22,35.79086,26.2078,41.81336
